,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
0,BW-162,1.0,BW,162.0,clumped,Dolomite,Dolomite,Dolomite,104.3,2.6,-0.2105506171708981,0.6,2.1,2.0,4.1,4.1,4.0,4.0,0.5626,0.0254,,0.0498,36.2,9.2,10.1,17.6,21.2,17.3,20.8,,,37387.142857142855,18778.75,27.04,30.423333333333336,y,40.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",13.26,351.2782608695652
1,BW-166,7.0,BW,166.0,clumped,Dolomite,Dolomite,Dolomite,99.5,2.92,-1.3260590950353284,1.3,0.8,0.8,1.5,1.5,1.5,1.5,0.5397,0.0094,0.0482,0.0184,45.2,3.8,4.0,7.5,8.1,7.3,7.9,,,15562.857142857143,6388.125,5.1585,24.88,y,40.0,"(0.984313725490196, 0.6862745098039216, 0.8941176470588236)",18.42,351.37391304347824
2,BW-169.2-A,6.0,BW,169.2,clumped,Cement,Calcite,Cement,96.7,1.62,-3.2129425948507366,6.1,0.8,0.8,1.6,1.6,1.5,1.6,0.4762,0.0102,0.0164,0.02,75.2,5.4,5.6,10.5,11.6,10.3,11.3,0.2614,0.0417,,,,,y,33.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",27.67,351.4504347826087
3,BW-169.2-B,5.0,BW,169.2,clumped,Matrix,Calcite,Matrix,96.4,1.84,-2.213835001633027,1.6,0.8,0.8,1.6,1.6,1.6,1.6,0.5506,0.0113,0.0139,0.0223,40.8,4.4,4.6,8.6,9.3,8.5,9.2,0.2111,0.046,,,,,y,33.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",22.69,351.4504347826087
4,BW-174,6.0,BW,174.0,clumped,Bulk,Calcite,Bulk,100.4,0.59,-5.802862278240332,-3.9,0.7,0.7,1.3,1.3,1.3,1.3,0.5784,0.0099,0.0213,0.0194,30.4,3.5,3.6,6.8,7.3,6.7,7.2,,,56225.71428571428,93.01125,41.515,3.9903333333333335,y,15.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",41.4,351.5652173913043
5,BW-174_3-A,3.0,BW,174.3,clumped,Cement,Calcite,Cement,96.4,1.69,-3.9598482713338807,4.4,1.1,1.2,2.2,2.4,2.2,2.4,0.488,0.0151,0.021,0.0297,69.0,7.5,8.0,14.5,16.6,14.3,16.3,0.2454,0.0445,,,,,y,14.536485535380358,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",31.5,351.5723913043478
6,BW-174_3-B,1.0,BW,174.3,clumped,Matrix,Calcite,Matrix,97.0,0.64,-5.967763531489858,-2.0,1.7,1.8,3.4,3.6,3.3,3.6,0.5482,0.0248,,0.0487,41.8,9.5,10.4,18.1,21.9,17.8,21.5,0.2272,0.0713,,,,,y,14.536485535380358,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",42.31,351.5723913043478
7,BW-178,1.0,BW,178.0,clumped,Bulk,Calcite,Bulk,98.6,0.57,-5.987163678930975,-4.1,1.7,1.7,3.3,3.5,3.3,3.4,0.5787,0.025,,0.0491,30.3,8.6,9.3,16.4,19.6,16.2,19.2,,,59615.71428571428,101.17625,44.845,7.294333333333333,y,15.0,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",42.42,351.66086956521735
8,BW-182,1.0,BW,182.0,clumped,Bulk,Calcite,Bulk,104.9,0.93,-5.783462130799208,-4.3,1.6,1.8,3.2,3.5,3.2,3.5,0.5837,0.0251,,0.0492,28.5,8.4,9.2,16.2,19.3,15.9,18.9,,,52085.71428571428,102.01125,41.760000000000005,5.924,n,11.165959349356797,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",41.29,351.7565217391304
9,BW-186,1.0,BW,186.0,clumped,Bulk,Calcite,Bulk,99.5,2.03,-5.579760582667442,-3.0,1.7,1.7,3.3,3.6,3.2,3.5,0.5681,0.025,,0.049,34.1,8.9,9.7,17.0,20.4,16.7,20.0,,,51041.42857142857,116.71625,35.625,5.436666666666667,y,3.647815553974885,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",40.17,351.85217391304343
