Sample,d13C,d18O_carb,thickness,age,,Sample_p,d18O_p,thickness_p,age_p
DW15(-28.0）,1.8,-5.8,-28,359.7,,MS9,19.1,18,353.8
DW-25.5,1.9,-5.6,-25.5,359.7,,QNQ392.7,19.2,29,353.5
DW-23.7,1.6,-4.1,-23.7,359.6,,QNQ346.5,19.3,70,352.4
DW-15.9,2.1,-5.7,-15.9,359.4,,QNQ346.5,18.8,70,352.4
DW-14.3,1.6,-5.7,-14.3,359.4,,QNQ301.3,19.1,134,351.4
DW-11.1,1.1,-6.3,-11.1,359.3,,MS140.2,19.9,149.2,351.6
DW-8.8,1.6,-5.8,-8.8,359.3,,QNQ242,20.6,191,351.1
DW-6.0,2.8,-7.2,-6,359.2,,MS192,20.3,201,351
DW-4.9,1.8,-6.2,-4.9,359.2,,QNQ188,20.2,263,350.6
DW1-4.0,2,-5.2,-4,359.2,,LS4.5,20,263.5,350.6
DW-2.0,2,-5.2,-2,359.1,,QNQ167,19.4,280,350.4
DW-1.9,2,-5.6,-1.9,359.1,,QNQ145,19.7,299,350.3
DW-1.2,1.2,-5.3,-1.2,359.1,,LS52,20.1,311,350
DW0.0,1.9,-5.3,0,359.1,,QNQ136,20.8,314,349.8
DW+1.0,0.8,-5.4,1,359.1,,QNQ133,21.4,319,349.5
MS0.5,4,-8.2,9.5,354,,LS80.9,20.9,339.9,348.2
MS 2,3.3,-2.8,11,354,,QNQ106,22.1,344,347.8
MS3,1.6,-5.4,12,354,,QNQ101,21.8,348,347.6
MS4,3.3,-5,13,353.9,,LS94,21.9,353,347.3
MS4.4,3.9,-6.2,13.4,353.9,,MLBO-4,17.6,38.4,356.5
MS5.06,4.3,-3.8,14.1,353.9,,MLBO-5,18.1,40.8,355.9
MS5.5,3.3,-4.1,14.5,353.9,,MLBO-6,18.2,42.2,355.5
MS6,3.4,-7.2,15,353.8,,MLBO-7,18.3,43,355.3
MS7,2.5,-7.2,16,353.8,,MLBO-8,18.6,45.6,355.1
MS8,2.8,-7,17,353.8,,MLBO-9,18.5,46,355
MS9,3.6,-5.4,18,353.8,,MLBO-10,18.3,48,354.94
MS10.5,3.7,-8.7,19.5,353.7,,MLBO-11,18.8,49,354.9
MS14,3.6,-7,23,353.6,,MLBO-12,18.4,50,354.6
MS15,3.7,-5.2,24,353.6,,MLBO-18,18.1,107.5,352.2
MS18,4.3,-6.5,27,353.5,,MLBO-20,18.7,143,351.4
MS18.5,2.4,-4.6,27.5,353.5,,GWY1-7,17.9,1.5,356
MS19,4.3,-6,28,353.5,,GWY0-11,18,2.2,355
MS20,3.5,-4.8,29,353.5,,GWY1-4,17.9,2.7,356
MS21,4.4,-2.9,30,353.5,,GWY1-5,17.5,2.8,356
MS22,4.2,-4.5,31,353.4,,GWY2-2,17.8,5.9,357.1
MS23,4.2,-5.5,32,353.4,,GWY2-4,17.6,6.2,358.9
